player,team,zone,total_points,total_attempts,made_shots,fg_percentage
A. Campbell,Fraser Valley Bandits,left_corner,9,4,3,0.75
J. Cadougan,Fraser Valley Bandits,left_corner,3,1,1,1.0
M. Capers,Fraser Valley Bandits,left_corner,3,1,1,1.0
B. Gilbeck,Fraser Valley Bandits,left_short_corner,4,3,2,0.6666666666666666
A. Campbell,Fraser Valley Bandits,left_short_corner,2,5,1,0.2
K. Manigault,Fraser Valley Bandits,left_short_corner,2,1,1,1.0
M. Duvivier,Fraser Valley Bandits,left_wing_three,15,7,5,0.7142857142857143
A. Campbell,Fraser Valley Bandits,left_wing_three,9,5,3,0.6
J. Manigat,Fraser Valley Bandits,left_wing_three,9,6,3,0.5
B. Gilbeck,Fraser Valley Bandits,restricted_area,22,17,11,0.6470588235294118
M. Duvivier,Fraser Valley Bandits,restricted_area,16,13,8,0.6153846153846154
S. Keith,Fraser Valley Bandits,restricted_area,14,9,7,0.7777777777777778
J. Cadougan,Fraser Valley Bandits,right_corner,3,1,1,1.0
J. Manigat,Fraser Valley Bandits,right_corner,3,2,1,0.5
M. Duvivier,Fraser Valley Bandits,right_corner,3,2,1,0.5
B. Gilbeck,Fraser Valley Bandits,right_short_corner,8,5,4,0.8
M. Duvivier,Fraser Valley Bandits,right_short_corner,8,8,4,0.5
L. Kendall,Fraser Valley Bandits,right_short_corner,6,4,3,0.75
A. Campbell,Fraser Valley Bandits,right_wing_three,12,8,4,0.5
S. Gibson,Fraser Valley Bandits,right_wing_three,9,6,3,0.5
K. Manigault,Fraser Valley Bandits,right_wing_three,6,5,2,0.4
B. Gilbeck,Fraser Valley Bandits,top_key_midrange,8,11,4,0.36363636363636365
J. Cadougan,Fraser Valley Bandits,top_key_midrange,4,4,2,0.5
K. Manigault,Fraser Valley Bandits,top_key_midrange,4,7,2,0.2857142857142857
M. Duvivier,Fraser Valley Bandits,top_key_three,6,4,2,0.5
B. Gilbeck,Fraser Valley Bandits,top_key_three,3,1,1,1.0
K. Manigault,Fraser Valley Bandits,top_key_three,3,1,1,1.0
